지점,지점명,일시,기온(°C),강수량(mm),습도(%),전운량(10분위),시정(10m),date,시간,PM10,PM25
108,서울,2023-05-01 00:00:00,12.1,0.0,87,9,1049,2023-05-01,0,67.0,30.0
108,서울,2023-05-01 01:00:00,11.6,0.0,88,6,957,2023-05-01,1,66.0,26.0
108,서울,2023-05-01 02:00:00,11.0,0.0,90,6,778,2023-05-01,2,64.0,28.0
108,서울,2023-05-01 03:00:00,10.8,0.0,91,8,672,2023-05-01,3,58.0,22.0
108,서울,2023-05-01 04:00:00,10.4,0.0,92,8,633,2023-05-01,4,56.0,22.0
108,서울,2023-05-01 05:00:00,10.1,0.0,91,7,566,2023-05-01,5,54.0,22.0
108,서울,2023-05-01 06:00:00,9.9,0.0,92,7,638,2023-05-01,6,51.0,22.0
108,서울,2023-05-01 07:00:00,10.1,0.0,91,4,864,2023-05-01,7,49.0,21.0
108,서울,2023-05-01 08:00:00,11.2,0.0,85,1,1198,2023-05-01,8,50.0,27.0
108,서울,2023-05-01 09:00:00,13.1,0.0,76,8,1496,2023-05-01,9,52.0,19.0
108,서울,2023-05-01 10:00:00,14.8,0.0,65,8,2000,2023-05-01,10,57.0,13.0
108,서울,2023-05-01 11:00:00,16.5,0.0,51,1,2000,2023-05-01,11,43.0,17.0
108,서울,2023-05-01 12:00:00,17.7,0.0,36,1,2000,2023-05-01,12,38.0,11.0
108,서울,2023-05-01 13:00:00,18.0,0.0,37,1,2000,2023-05-01,13,37.0,14.0
108,서울,2023-05-01 14:00:00,19.1,0.0,33,0,2000,2023-05-01,14,37.0,19.0
108,서울,2023-05-01 15:00:00,19.9,0.0,33,0,2000,2023-05-01,15,33.0,12.0
108,서울,2023-05-01 16:00:00,20.6,0.0,34,0,2000,2023-05-01,16,33.0,4.0
108,서울,2023-05-01 17:00:00,20.2,0.0,28,0,1800,2023-05-01,17,29.0,9.0
108,서울,2023-05-01 18:00:00,19.1,0.0,32,0,2000,2023-05-01,18,29.0,10.0
108,서울,2023-05-01 19:00:00,17.5,0.0,40,0,2000,2023-05-01,19,31.0,9.0
108,서울,2023-05-01 20:00:00,15.6,0.0,43,2,2000,2023-05-01,20,29.0,15.0
108,서울,2023-05-01 21:00:00,14.1,0.0,46,0,2000,2023-05-01,21,28.0,13.0
108,서울,2023-05-01 22:00:00,13.4,0.0,48,1,2000,2023-05-01,22,28.0,11.0
108,서울,2023-05-01 23:00:00,12.9,0.0,47,1,2000,2023-05-01,23,29.0,12.0
108,서울,2023-05-02 00:00:00,12.0,0.0,50,0,2000,2023-05-02,0,32.0,10.0
108,서울,2023-05-02 01:00:00,11.3,0.0,53,0,2000,2023-05-02,1,27.0,11.0
108,서울,2023-05-02 02:00:00,10.6,0.0,52,0,2000,2023-05-02,2,28.0,12.0
108,서울,2023-05-02 03:00:00,10.0,0.0,57,0,2000,2023-05-02,3,25.0,12.0
108,서울,2023-05-02 04:00:00,9.7,0.0,60,0,2000,2023-05-02,4,26.0,10.0
108,서울,2023-05-02 05:00:00,9.2,0.0,62,6,2000,2023-05-02,5,27.0,12.0
108,서울,2023-05-02 06:00:00,9.4,0.0,60,7,2000,2023-05-02,6,31.0,14.0
108,서울,2023-05-02 07:00:00,10.3,0.0,57,7,2000,2023-05-02,7,33.0,15.0
108,서울,2023-05-02 08:00:00,12.8,0.0,52,8,2000,2023-05-02,8,37.0,15.0
108,서울,2023-05-02 09:00:00,15.2,0.0,45,7,2000,2023-05-02,9,46.0,17.0
108,서울,2023-05-02 10:00:00,17.7,0.0,42,7,2000,2023-05-02,10,48.0,17.0
